Roll_No,Name,Attendance_Percentage,Daily_Study_Hours,Previous_Marks,Assignment_Marks,Internal_Marks,Final_Marks
2026ST1058,Ritu Reddy,86.9,3.0,51.9,51.2,16.4,54.6
2026ST1059,Babita Dubey,62.9,4.7,77.8,59.7,24.5,66.5
2026ST1060,Diya Shah,86.2,1.0,85.1,88.5,13.9,64.2
2026ST1061,Ayush Lone,80.7,1.5,55.0,92.4,20.2,62.6
2026ST1062,Anjali Gill,99.5,6.4,97.0,94.6,23.0,89.7
2026ST1063,Vijay Roy,93.2,5.9,93.8,87.2,20.5,79.5
2026ST1064,Diya Ansari,71.1,8.0,69.1,62.0,19.9,72.3
2026ST1065,Diya Naidu,73.4,9.0,44.8,57.5,18.9,60.7
2026ST1066,Ansh Gupta,76.6,4.0,68.0,53.1,27.0,64.1
2026ST1067,Swati Khan,97.8,1.2,92.8,78.8,20.6,76.3
2026ST1068,Pihu Agnihotri,75.6,9.0,90.1,76.9,25.2,87.3
2026ST1069,Rekha Patil,79.5,3.5,69.1,69.4,24.0,69.0
2026ST1070,Kiran Desai,93.6,9.3,98.8,76.7,28.3,93.5
2026ST1071,Anjali Verma,63.4,4.9,92.0,59.1,16.7,65.6
2026ST1072,Vikram Pillai,73.5,8.9,56.7,97.6,19.6,77.3
2026ST1073,Anil Verma,90.0,1.5,97.1,61.2,13.2,70.5
2026ST1074,Aditya Agnihotri,61.2,3.2,90.4,81.1,16.3,65.8
2026ST1075,Krishna Sandhu,97.9,5.2,55.4,68.4,22.9,72.9
2026ST1076,Jyoti Mishra,91.1,2.5,58.7,78.9,28.7,67.8
2026ST1077,Rani Banerjee,75.9,7.4,44.6,84.5,23.3,63.7
2026ST1078,Swati Nair,94.0,6.4,47.3,99.2,26.1,72.2
2026ST1079,Sanjay Bhat,74.8,5.6,60.5,92.5,26.8,67.6
2026ST1080,Aisha Ansari,95.7,5.1,49.2,58.8,21.4,65.1
2026ST1081,Harish Dhillon,91.0,5.2,89.5,79.6,17.8,73.7
2026ST1082,Aarti Joshi,71.2,5.1,85.0,78.5,24.0,72.1
2026ST1083,Sunil Pillai,67.3,2.9,87.9,67.0,27.8,71.6
2026ST1084,Ananya Cheema,60.4,9.5,45.1,86.0,20.8,70.5
2026ST1085,Pooja Yadav,85.8,5.4,87.6,54.7,16.0,72.4
2026ST1086,Pihu Bhat,83.3,5.3,71.9,71.3,25.4,70.5
2026ST1087,Pooja Dutta,70.8,3.3,47.2,59.6,14.2,51.3
2026ST1088,Ritu Lone,67.4,2.9,69.1,86.2,29.6,68.0
2026ST1089,Aadhya Mehra,93.3,3.7,61.7,65.1,24.7,63.0
2026ST1090,Aditya Singh,82.1,7.3,47.6,93.4,20.8,73.4
2026ST1091,Ganesh Murthy,78.8,5.0,51.1,52.6,28.9,63.2
2026ST1092,Sunita Gupta,76.0,1.7,77.8,52.7,14.7,57.8
2026ST1093,Pihu Joshi,99.8,2.1,85.9,80.3,26.2,72.3
2026ST1094,Rajesh Banerjee,78.0,5.0,91.6,99.5,17.5,78.0
2026ST1095,Harish Shukla,64.0,7.9,77.5,63.2,13.5,65.5
2026ST1096,Suresh Gupta,66.3,4.7,81.4,73.5,12.6,62.3
2026ST1097,Aadhya Lone,94.4,1.6,54.0,63.2,26.2,61.8
2026ST1098,Anita Kulkarni,77.0,5.9,78.9,95.4,26.9,74.3
2026ST1099,Aryan Nair,83.8,8.4,95.3,72.0,20.4,81.2
2026ST1100,Rohit Naidu,80.0,5.4,44.8,52.0,19.8,56.2
2026ST1101,Pari Verma,63.7,9.7,90.2,78.8,29.1,90.6
2026ST1102,Sneha Naidu,83.0,7.9,50.5,75.9,20.0,66.7
2026ST1103,Mahesh Roy,85.4,5.4,45.5,67.4,18.0,62.3
2026ST1104,Babita Desai,73.2,7.2,57.3,97.3,26.6,74.6
2026ST1105,Vikram Joshi,72.6,3.9,98.2,70.2,21.3,77.8
2026ST1106,Anjali Dhillon,78.5,1.5,71.1,81.1,21.0,62.1
2026ST1107,Vihaan Joshi,70.7,2.2,57.3,94.0,20.7,55.5
2026ST1108,Priya Ahmed,92.0,7.4,58.6,50.7,19.3,65.3
2026ST1109,Kavita Mishra,78.5,2.1,89.9,74.9,24.9,70.6
2026ST1110,Ananya Bose,93.4,9.8,54.6,77.6,18.9,80.0
2026ST1111,Vijay Shukla,95.2,8.8,56.6,89.5,19.5,81.1
2026ST1112,Vijay Naidu,92.8,3.5,57.9,79.3,30.0,69.7
2026ST1113,Shaurya Sen,81.5,4.1,73.1,77.2,20.2,66.3
2026ST1114,Mohammad Lone,69.6,4.4,91.4,70.5,17.7,69.3
2026ST1115,Rani Banerjee,75.4,7.0,89.2,99.0,20.9,76.5
2026ST1116,Vijay Khan,73.3,1.9,90.7,55.0,28.4,63.3
2026ST1117,Shaurya Bose,94.8,9.7,44.5,89.1,16.8,74.7
2026ST1118,Rohit Malik,63.2,4.0,80.5,76.7,29.2,72.2
2026ST1119,Seema Agnihotri,79.5,5.9,77.0,61.7,24.3,70.1
2026ST1120,Aanya Shukla,63.6,9.8,85.6,85.2,13.8,74.3
2026ST1121,Pihu Verma,61.8,8.2,57.6,68.7,14.6,64.0
2026ST1122,Ganesh Dar,91.7,2.5,44.7,93.5,23.2,59.8
2026ST1123,Rani Khan,65.7,5.2,55.2,62.8,12.2,58.7
2026ST1124,Rekha Murthy,87.1,2.4,66.5,67.3,22.6,65.0
2026ST1125,Sanjay Lone,70.0,8.6,52.0,69.2,20.7,64.9
2026ST1126,Ganesh Das,83.0,9.9,57.7,98.9,23.8,78.2
2026ST1127,Ganesh Dar,91.1,9.8,94.6,87.3,27.0,96.8
2026ST1128,Swati Patil,84.3,4.2,78.2,81.0,24.2,75.2
2026ST1129,Anjali Dar,93.5,6.7,94.2,82.3,17.6,80.9
2026ST1130,Mahesh Chatterjee,89.3,1.8,57.7,87.4,15.2,55.8
2026ST1131,Ramesh Chatterjee,81.2,9.2,89.8,62.8,26.8,84.2
2026ST1132,Anita Murthy,89.9,4.0,46.9,98.1,14.5,66.7
2026ST1133,Geeta Dar,89.0,9.8,98.0,90.2,18.6,92.5
2026ST1134,Aarav Rao,81.5,5.1,80.4,83.6,22.5,77.6
2026ST1135,Aisha Mehra,87.0,5.2,77.2,97.2,17.9,75.6
2026ST1136,Neha Gupta,85.4,5.2,82.1,82.5,14.1,67.0
2026ST1137,Aditya Nair,99.8,2.0,54.1,76.9,19.0,59.9
2026ST1138,Preeti Lone,97.8,4.8,84.5,57.7,19.5,68.9
2026ST1139,Sunil Ali,76.3,9.6,42.0,68.5,20.0,71.8
2026ST1140,Babita Chatterjee,64.0,7.2,72.7,98.9,18.5,72.1
2026ST1141,Mohammad Mishra,98.0,8.4,45.5,60.6,23.5,75.6
2026ST1142,Vihaan Menon,69.7,2.1,73.9,53.4,25.8,58.3
2026ST1143,Ansh Patil,73.1,2.3,94.0,50.1,27.5,65.1
2026ST1144,Ishaan Dhillon,70.0,2.6,79.7,51.3,12.3,59.9
2026ST1145,Diya Khan,73.0,2.6,43.1,87.1,21.5,59.0
2026ST1146,Anil Sen,91.1,5.6,46.5,75.2,29.0,64.6
2026ST1147,Meena Bhat,80.9,5.1,97.8,53.0,20.6,73.0
2026ST1148,Sneha Mehra,79.6,9.2,44.4,54.0,22.9,62.8
2026ST1149,Ananya Ali,85.3,5.9,59.5,99.7,21.6,72.0
2026ST1150,Dinesh Roy,64.0,7.3,91.2,82.5,25.8,82.2
2026ST1151,Ansh Roy,78.1,3.1,60.3,72.7,19.5,56.5
2026ST1152,Sanjay Pillai,86.6,4.4,49.2,96.1,13.2,65.2
2026ST1153,Sai Roy,63.9,7.6,88.7,77.8,22.6,78.2
2026ST1154,Ashi Bhat,64.9,4.2,79.9,87.5,27.6,74.5
2026ST1155,Aadhya Ahmed,72.5,1.9,70.4,57.7,20.7,61.9
2026ST1156,Aarohi Cheema,74.7,7.9,74.4,90.4,27.2,85.0
2026ST1157,Sunita Ali,84.5,6.8,41.6,96.5,26.9,68.6
2026ST1158,Ayush Naidu,88.1,3.8,60.4,50.3,27.7,65.4
2026ST1159,Rohit Gupta,65.7,6.7,41.8,87.3,15.9,59.3
2026ST1160,Ashi Desai,74.8,7.5,86.6,78.4,13.5,70.0
2026ST1161,Aryan Agnihotri,84.7,7.1,56.3,83.1,20.7,70.3
2026ST1162,Ananya Joshi,90.2,2.0,65.8,64.2,24.2,63.4
2026ST1163,Anjali Nair,61.8,4.6,76.0,50.4,17.4,57.7
2026ST1164,Ishaan Agnihotri,70.2,4.0,40.5,87.4,15.2,53.7
2026ST1165,Jyoti Patil,80.0,8.5,88.4,53.6,27.5,76.7
2026ST1166,Vivaan Dutta,96.8,8.8,74.5,78.7,24.8,82.7
2026ST1167,Krishna Mukherjee,60.8,3.9,88.1,80.9,27.0,76.2
2026ST1168,Sai Roy,93.8,3.2,75.3,76.2,19.1,66.8
2026ST1169,Ashi Patil,73.3,2.5,70.6,55.7,21.2,63.9
2026ST1170,Aarohi Das,89.1,8.4,88.9,61.8,14.6,74.8
2026ST1171,Dinesh Shah,90.4,6.9,50.6,88.6,20.9,73.3
2026ST1172,Ritu Khan,78.0,9.3,73.9,81.8,23.2,83.9
2026ST1173,Priya Pillai,66.0,1.6,66.5,65.1,16.9,50.1
2026ST1174,Vijay Gupta,72.4,5.1,43.4,91.6,13.4,61.8
2026ST1175,Babita Joshi,84.6,5.6,67.8,77.7,26.3,77.2
2026ST1176,Deepak Sandhu,86.1,3.9,68.5,57.5,13.1,56.8
2026ST1177,Rekha Menon,99.3,1.8,78.8,52.0,24.7,72.2
2026ST1178,Rajesh Gill,84.4,4.3,95.1,69.4,25.9,79.2
2026ST1179,Vihaan Ansari,85.9,1.6,45.7,83.9,17.1,57.5
2026ST1180,Anjali Ahmed,94.9,4.0,75.0,57.1,18.3,71.9
2026ST1181,Pooja Bhat,75.7,6.4,96.3,65.5,18.8,79.0
2026ST1182,Sunita Patel,86.8,8.5,84.3,84.3,21.5,84.5
2026ST1183,Sanjay Jat,74.5,4.3,50.8,60.7,29.1,62.3
2026ST1184,Aanya Patel,66.2,3.7,87.3,75.4,21.7,71.4
2026ST1185,Rajesh Kumar,86.5,8.9,77.1,79.9,14.8,74.4
2026ST1186,Pooja Dubey,85.0,9.1,83.3,52.2,18.6,79.5
2026ST1187,Deepak Ali,71.4,7.7,66.9,76.7,17.6,73.1
2026ST1188,Anil Kulkarni,74.7,9.5,99.1,73.1,17.1,82.0
2026ST1189,Rajesh Bose,98.7,8.4,88.1,56.9,16.5,81.2
2026ST1190,Geeta Chatterjee,82.2,1.9,90.8,92.6,17.1,72.6
2026ST1191,Ananya Sen,96.2,2.3,66.2,97.3,16.0,65.8
2026ST1192,Aarohi Verma,76.6,4.6,62.4,69.3,13.5,57.6
2026ST1193,Khushi Mehra,93.6,6.8,87.5,56.9,17.2,79.0
2026ST1194,Pooja Patel,90.4,5.2,76.9,95.3,12.3,69.2
2026ST1195,Shaurya Cheema,97.6,6.5,65.4,88.8,16.3,69.8
2026ST1196,Diya Bose,85.6,6.6,43.8,91.8,21.0,68.1
2026ST1197,Priya Jat,83.0,7.5,57.5,50.1,18.4,66.3
2026ST1198,Ayush Bhat,86.7,5.7,61.6,97.7,21.8,75.6
2026ST1199,Vijay Cheema,60.8,8.9,42.6,69.3,18.7,65.0
2026ST1200,Aarohi Gupta,73.8,7.6,77.7,88.6,25.2,77.5
2026ST1201,Aditya Das,81.8,8.3,50.5,89.0,20.4,73.6
2026ST1202,Priya Mehta,92.5,1.6,86.6,72.9,17.3,62.7
2026ST1203,Mohammad Kumar,72.6,3.8,63.9,90.8,20.5,60.5
2026ST1204,Neha Kulkarni,71.4,8.8,42.9,82.8,16.9,68.6
2026ST1205,Sanjay Mukherjee,89.7,9.1,63.2,98.7,20.9,80.3
2026ST1206,Aarti Gill,70.7,1.7,65.5,71.5,29.9,59.7
2026ST1207,Aadhya Pillai,64.1,4.0,57.7,72.3,24.9,58.1
2026ST1208,Deepak Das,77.9,7.5,94.7,80.7,19.8,82.4
2026ST1209,Meena Singh,63.0,6.7,61.8,90.1,24.2,74.7
2026ST1210,Shaurya Ahmed,87.1,4.9,47.6,61.8,23.6,61.2
2026ST1211,Ganesh Kumar,84.2,7.1,96.9,68.6,25.7,84.0
2026ST1212,Rajesh Chatterjee,75.9,6.8,55.0,55.7,25.2,66.2
2026ST1213,Rahul Cheema,64.7,8.0,82.2,60.7,23.0,76.1
2026ST1214,Sunil Kulkarni,64.9,8.7,67.1,94.9,20.0,70.6
2026ST1215,Sneha Pillai,86.7,7.4,73.0,64.5,17.4,69.0
2026ST1216,Jyoti Lone,85.5,8.1,70.5,56.1,15.6,67.1
2026ST1217,Meena Choudhary,61.1,6.0,62.1,90.2,21.9,68.4
2026ST1218,Sai Gupta,72.4,10.0,83.1,76.3,25.8,87.0
2026ST1219,Arjun Patel,98.9,6.8,67.0,84.0,18.2,79.0
2026ST1220,Swati Cheema,85.6,2.6,98.0,71.6,28.4,72.2
2026ST1221,Krishna Gill,66.1,2.5,59.4,85.5,18.2,62.4
2026ST1222,Rekha Murthy,93.8,3.3,78.1,77.5,14.3,65.6
2026ST1223,Ramesh Joshi,80.1,2.5,96.5,57.7,23.9,72.8
2026ST1224,Dinesh Menon,93.7,6.1,89.5,51.4,12.8,73.3
2026ST1225,Ganesh Rao,86.0,7.9,65.0,81.9,21.0,76.6
2026ST1226,Aadhya Malik,98.3,5.3,88.3,84.2,17.4,73.8
2026ST1227,Vihaan Desai,77.6,5.4,52.2,80.3,17.6,65.0
2026ST1228,Kiran Das,99.0,2.2,62.2,78.1,17.7,63.1
2026ST1229,Ananya Sen,69.9,1.9,57.4,69.2,23.1,54.4
2026ST1230,Geeta Desai,92.5,9.4,83.3,59.5,14.9,83.6
2026ST1231,Vikram Choudhary,95.2,5.5,45.4,69.7,20.2,61.6
2026ST1232,Mahesh Das,61.9,3.5,75.9,92.1,24.1,65.9
2026ST1233,Aarav Mehra,77.2,8.9,83.7,88.2,18.6,79.9
2026ST1234,Ganesh Cheema,67.8,6.0,44.4,75.2,25.8,60.9
2026ST1235,Harish Dar,84.4,2.2,45.8,68.7,29.8,60.8
2026ST1236,Aisha Agnihotri,65.8,6.4,64.1,52.0,12.7,61.5
2026ST1237,Anita Yadav,80.8,2.3,93.6,57.0,28.8,70.0
2026ST1238,Rohit Ali,89.6,3.7,60.2,91.4,21.6,70.0
2026ST1239,Pihu Yadav,92.6,4.3,80.4,99.0,22.5,80.3
2026ST1240,Kiran Lone,85.2,6.4,55.9,82.8,29.5,74.6
2026ST1241,Aanya Pandey,62.1,5.3,71.5,86.1,25.9,69.1
2026ST1242,Sunita Dar,69.7,6.2,82.0,59.5,19.9,69.0
2026ST1243,Amit Lone,68.2,5.5,76.7,73.6,27.3,74.6
2026ST1244,Jyoti Patel,80.7,6.0,99.9,73.9,18.8,83.2
2026ST1245,Vikram Dhillon,73.7,4.2,86.3,86.0,23.6,75.7
2026ST1246,Harish Yadav,67.7,3.2,73.5,61.2,29.5,63.9
2026ST1247,Aadhya Tiwari,68.3,7.3,59.0,67.4,28.8,73.4
2026ST1248,Ananya Murthy,64.9,7.1,62.8,99.0,26.7,78.8
2026ST1249,Anita Shah,71.6,3.6,82.8,67.3,20.0,64.0
2026ST1250,Anil Joshi,68.1,5.8,96.0,84.8,14.5,75.1
2026ST1251,Mahesh Reddy,69.7,7.0,71.9,81.9,12.9,67.4
2026ST1252,Jyoti Yadav,64.0,7.9,40.3,77.5,28.7,65.7
2026ST1253,Aarti Yadav,79.1,2.8,97.8,66.1,23.6,76.6
2026ST1254,Sai Malik,83.0,5.8,83.4,96.8,28.4,78.7
2026ST1255,Seema Mehta,97.4,1.3,90.2,89.4,15.4,72.7
2026ST1256,Geeta Murthy,95.1,1.1,74.1,55.4,29.7,64.5
2026ST1257,Neha Dhillon,81.0,9.0,48.1,75.2,16.9,71.4
2026ST1258,Ashi Desai,89.2,6.8,83.1,50.7,18.1,71.0
2026ST1259,Sneha Agnihotri,67.7,6.5,78.3,70.3,19.7,68.7
2026ST1260,Rohit Bhat,63.8,9.8,68.6,96.8,12.1,72.3
2026ST1261,Deepak Agnihotri,70.7,4.0,74.9,78.6,16.7,63.3
2026ST1262,Diya Singh,86.7,5.2,49.6,84.3,28.6,73.4
2026ST1263,Swati Nair,87.6,6.7,96.4,68.4,16.0,82.7
2026ST1264,Anil Shah,78.2,9.9,62.4,85.1,28.4,83.7
2026ST1265,Anita Bhat,93.0,7.9,80.8,79.8,26.2,84.0
2026ST1266,Rajesh Tiwari,74.5,9.3,46.7,91.4,28.3,72.4
2026ST1267,Ramesh Shah,66.6,8.7,66.5,84.0,24.9,75.6
2026ST1268,Rekha Jat,77.8,1.5,47.9,70.8,22.2,55.2
2026ST1269,Sneha Nair,88.9,4.6,89.0,87.3,22.4,73.4
2026ST1270,Aarohi Lone,62.6,9.9,96.1,53.5,28.8,78.9
2026ST1271,Amit Mehta,90.8,7.9,98.7,82.3,19.6,90.6
2026ST1272,Rahul Sen,94.8,9.2,62.5,84.1,23.9,81.1
2026ST1273,Neha Das,64.7,9.9,63.6,56.4,29.6,78.4
2026ST1274,Ritu Verma,99.1,5.2,83.1,71.2,18.8,72.5
2026ST1275,Vikram Das,66.2,2.7,92.5,88.3,12.6,67.5
2026ST1276,Harish Dubey,97.4,9.0,54.4,53.4,22.7,72.6
2026ST1277,Sneha Tiwari,94.9,3.2,42.7,71.9,21.7,62.4
2026ST1278,Swati Singh,65.6,9.9,54.0,95.8,22.4,75.5
2026ST1279,Swati Dar,92.7,3.1,92.6,99.3,21.4,77.3
2026ST1280,Ananya Singh,82.3,6.3,84.1,58.8,24.2,75.8
2026ST1281,Vihaan Das,97.7,7.0,87.1,65.9,19.5,75.8
2026ST1282,Rahul Mehta,90.2,5.3,91.0,65.0,24.7,81.1
2026ST1283,Rani Singh,82.5,9.7,73.4,56.7,16.4,71.7
2026ST1284,Neha Joshi,96.9,8.6,45.5,86.2,15.4,68.5
2026ST1285,Sneha Ahmed,84.1,8.9,51.3,88.1,25.0,76.3
2026ST1286,Anil Joshi,94.8,4.0,97.4,50.8,28.9,82.9
2026ST1287,Krishna Shukla,100.0,5.3,54.6,80.2,15.7,71.0
2026ST1288,Suresh Pillai,91.0,4.4,72.0,68.0,16.7,67.3
2026ST1289,Sunil Dutta,63.9,9.8,68.2,92.0,28.5,79.6
2026ST1290,Amit Kumar,82.5,3.0,48.8,63.0,28.8,61.8
2026ST1291,Amit Murthy,66.1,4.0,62.8,91.7,21.0,65.9
2026ST1292,Sneha Menon,70.3,8.4,98.0,82.1,20.8,79.7
2026ST1293,Meena Das,66.8,7.5,69.3,95.8,21.8,75.8
2026ST1294,Vihaan Gill,61.4,8.6,96.7,83.4,25.8,83.0
2026ST1295,Kavita Ansari,69.3,7.4,40.5,75.3,18.7,62.6
2026ST1296,Anjali Ali,96.5,6.9,40.9,76.6,19.4,61.7
2026ST1297,Kiran Naidu,81.4,3.6,70.1,84.9,19.8,71.5
2026ST1298,Ayush Mehra,96.7,5.7,54.5,81.0,16.5,66.0
2026ST1299,Meena Mukherjee,63.2,9.6,67.5,62.2,24.6,71.7
2026ST1300,Sunita Joshi,86.1,8.7,85.6,54.7,18.8,78.4
2026ST1301,Vihaan Ansari,60.4,2.5,70.0,71.7,26.1,62.5
2026ST1302,Babita Mehra,95.8,9.3,53.8,95.1,24.5,81.1
2026ST1303,Ananya Kumar,97.0,7.2,56.8,77.2,23.8,71.1
2026ST1304,Babita Pillai,60.6,2.9,48.7,91.0,26.8,63.9
2026ST1305,Pihu Desai,82.6,6.1,91.0,83.9,21.7,78.3
2026ST1306,Preeti Patel,91.6,7.2,44.7,87.3,18.2,64.3
2026ST1307,Aanya Gupta,73.6,7.9,97.3,69.8,25.9,78.4
2026ST1308,Ananya Sen,79.6,4.2,96.5,71.6,24.2,77.7
2026ST1309,Sai Dubey,84.7,8.2,82.8,54.1,14.8,75.8
2026ST1310,Priya Shah,89.6,3.9,46.4,50.3,17.5,54.5
2026ST1311,Ananya Mehra,65.3,2.7,66.9,77.7,19.3,55.1
2026ST1312,Aarohi Cheema,63.7,6.4,59.5,69.3,17.3,61.3
2026ST1313,Sai Pandey,96.0,9.1,98.7,78.6,15.1,85.2
2026ST1314,Ishaan Naidu,72.0,5.4,43.8,71.7,19.6,58.7
2026ST1315,Arjun Chatterjee,70.1,3.2,77.5,79.7,15.5,59.4
2026ST1316,Pihu Sharma,98.0,4.0,77.2,90.2,17.9,71.6
2026ST1317,Sunita Malik,99.0,2.2,59.2,97.4,15.6,62.5
2026ST1318,Rohit Pillai,71.7,7.3,69.5,78.8,16.4,68.6
2026ST1319,Sunita Mukherjee,74.6,9.4,52.0,99.9,15.2,74.6
2026ST1320,Vivaan Pandey,78.5,7.4,66.3,64.6,24.5,75.5
2026ST1321,Meena Bose,86.9,2.3,58.2,62.6,14.8,55.5
2026ST1322,Rahul Gupta,78.0,6.4,74.9,76.7,28.6,80.4
2026ST1323,Amit Dhillon,61.5,9.7,82.1,90.6,22.7,85.4
2026ST1324,Reyansh Dubey,69.9,7.0,50.0,80.6,22.1,67.6
2026ST1325,Neha Mukherjee,98.7,4.0,87.8,55.3,13.8,66.5
2026ST1326,Preeti Gill,82.3,7.2,53.3,68.7,20.3,69.1
2026ST1327,Pooja Jat,66.0,10.0,69.0,64.8,28.6,73.8
2026ST1328,Kavita Pandey,65.7,3.8,67.3,60.3,20.7,60.1
2026ST1329,Deepak Pandey,87.9,3.9,58.0,90.5,14.1,66.9
2026ST1330,Neha Mehra,87.1,2.5,99.0,62.2,15.1,65.6
2026ST1331,Suresh Roy,98.3,3.1,64.3,59.2,23.5,65.1
2026ST1332,Vivaan Shukla,84.6,2.8,75.5,69.4,24.7,65.0
2026ST1333,Ritu Tiwari,92.3,1.6,46.1,93.6,15.4,55.5
2026ST1334,Vikram Mishra,70.5,8.8,71.7,82.0,22.7,78.0
2026ST1335,Mahesh Mishra,73.9,8.6,77.0,90.7,24.7,79.0
2026ST1336,Harish Khan,63.4,2.2,47.1,65.3,15.3,50.6
2026ST1337,Vijay Banerjee,76.7,2.2,63.0,59.3,23.4,61.2
2026ST1338,Neha Mehta,82.2,5.4,48.4,65.7,20.1,57.2
2026ST1339,Aarohi Sharma,79.4,2.8,63.0,78.1,23.8,63.1
2026ST1340,Sunil Bose,88.4,5.0,50.0,78.3,26.3,64.8
2026ST1341,Aditya Naidu,69.0,3.6,86.8,78.3,25.9,71.7
2026ST1342,Vijay Mishra,82.9,3.4,72.6,99.5,21.8,73.6
2026ST1343,Ritu Pandey,77.7,3.0,65.5,86.8,23.8,63.6
2026ST1344,Geeta Kumar,78.0,4.1,89.0,72.0,29.9,79.0
2026ST1345,Diya Joshi,92.4,6.3,61.0,85.5,23.4,70.6
2026ST1346,Ishaan Joshi,92.5,8.2,74.2,76.6,22.7,76.7
2026ST1347,Jyoti Murthy,71.6,3.4,91.5,99.3,24.2,71.5
2026ST1348,Ritu Bose,96.8,9.9,92.0,56.3,27.6,86.5
